Model,9J7V_WT,9J7V_R83C,9J7V_G188R
1.0,0.0,0.0,0.0
2.0,0.35682,0.35652,0.33161
3.0,0.58308,0.52529,0.47702
4.0,0.74147,0.63328,0.60046
5.0,0.8944,0.72453,0.69524
6.0,1.07005,0.79143,0.83214
7.0,1.20904,0.9096,0.97757
8.0,1.36333,1.05261,0.99501
9.0,1.47021,1.16802,1.07749
10.0,1.58837,1.26569,1.21264
11.0,1.6968,1.36324,1.29787
12.0,1.79434,1.44502,1.4154
13.0,1.8823,1.47804,1.48442
14.0,1.96102,1.52563,1.5252
15.0,2.08066,1.55521,1.59781
16.0,2.2126,1.61852,1.64526
17.0,2.18712,1.58166,1.68479
18.0,2.18311,1.63861,1.67431
19.0,2.163,1.70128,1.70446
20.0,2.16058,1.78825,1.72719
21.0,2.15141,1.84363,1.7957
22.0,2.20018,1.84177,1.84692
23.0,2.21501,1.89473,1.85269
24.0,2.30548,1.90124,1.86093
25.0,2.35528,1.91031,1.87787
26.0,2.29286,1.98175,1.87753
27.0,2.29963,2.03094,1.87027
28.0,2.2782,2.07761,1.87089
29.0,2.3455,2.10324,1.88351
30.0,2.39418,2.17769,1.9748
31.0,2.46697,2.18349,1.98917
32.0,2.53625,2.22534,2.03999
33.0,2.59769,2.26067,2.06117
34.0,2.56144,2.26155,2.10965
35.0,2.604,2.25674,2.14247
36.0,2.55025,2.26903,2.20901
37.0,2.64317,2.24098,2.21805
38.0,2.63402,2.2302,2.22516
39.0,2.66352,2.30852,2.29747
40.0,2.72059,2.32831,2.36745
41.0,2.72629,2.35739,2.36928
42.0,2.71408,2.29391,2.41805
43.0,2.70154,2.29657,2.39533
44.0,2.72088,2.24013,2.36942
45.0,2.74867,2.25738,2.43107
46.0,2.71372,2.23599,2.43316
47.0,2.71964,2.2226,2.42064
48.0,2.68855,2.26788,2.45131
49.0,2.70147,2.26272,2.46181
50.0,2.7191,2.29239,2.43991
51.0,2.72344,2.32436,2.45796
52.0,2.77626,2.35801,2.51193
53.0,2.80653,2.36984,2.46759
54.0,2.78646,2.42757,2.44452
55.0,2.7775,2.44519,2.45272
56.0,2.80574,2.44557,2.47813
57.0,2.76807,2.51378,2.54813
58.0,2.78485,2.55667,2.59765
59.0,2.81795,2.60109,2.63771
60.0,2.83347,2.57928,2.65027
61.0,2.86612,2.60206,2.69988
62.0,2.84252,2.6565,2.75214
63.0,2.87415,2.69673,2.73348
64.0,2.90072,2.75254,2.77303
65.0,2.93148,2.73249,2.84938
66.0,2.91317,2.77403,2.94054
67.0,2.93506,2.75275,2.93769
68.0,2.96075,2.78062,3.07452
69.0,2.95753,2.7548,3.0655
70.0,2.95394,2.74168,3.07304
71.0,2.97562,2.74992,3.06381
72.0,3.00522,2.76691,3.09183
73.0,3.04956,2.79939,3.15213
74.0,3.06768,2.78204,3.15461
75.0,3.06495,2.78691,3.16851
76.0,3.10405,2.75539,3.22467
77.0,3.15298,2.80638,3.2342
78.0,3.17517,2.8232,3.26339
79.0,3.16987,2.82484,3.22925
80.0,3.13475,2.8504,3.21411
81.0,3.17647,2.89587,3.23489
82.0,3.21071,2.88292,3.20753
83.0,3.21873,2.89296,3.31366
84.0,3.22468,2.96439,3.32101
85.0,3.2337,2.96553,3.26521
86.0,3.26268,2.97333,3.22029
87.0,3.26262,2.93475,3.19882
88.0,3.27253,2.92357,3.2208
89.0,3.32068,2.92068,3.25323
90.0,3.32252,3.00868,3.29208
91.0,3.31232,3.05644,3.3559
92.0,3.30319,3.09714,3.37338
93.0,3.30238,3.11255,3.36817
94.0,3.31939,3.1094,3.39072
95.0,3.32431,3.09249,3.33856
96.0,3.37062,3.14757,3.38263
97.0,3.37006,3.20704,3.38174
98.0,3.41638,3.28846,3.35009
99.0,3.41474,3.34893,3.40781
100.0,3.47996,3.32368,3.43851
101.0,3.47856,3.41073,3.54081
102.0,3.43825,3.43812,3.58558
103.0,3.43692,3.39938,3.67304
104.0,3.44347,3.3602,3.6706
105.0,3.45654,3.32294,3.59257
106.0,3.46955,3.38059,3.65508
107.0,3.50318,3.42687,3.70426
108.0,3.52017,3.45036,3.66521
109.0,3.49734,3.43902,3.71744
110.0,3.51946,3.50391,3.77879
111.0,3.5165,3.49485,3.82887
112.0,3.54236,3.51393,3.92391
113.0,3.56642,3.54588,3.94063
114.0,3.60531,3.54396,3.90882
115.0,3.61547,3.57885,3.95802
116.0,3.58927,3.56716,3.92852
117.0,3.59338,3.60721,3.9753
118.0,3.61962,3.67287,4.02722
119.0,3.65552,3.63844,3.99859
120.0,3.64137,3.64059,3.95112
121.0,3.6281,3.60108,3.99386
122.0,3.61858,3.6687,3.97952
123.0,3.63744,3.69358,3.96949
124.0,3.65833,3.67032,4.06897
125.0,3.66167,3.71141,4.11408
126.0,3.64833,3.69848,4.14454
127.0,3.65133,3.7367,4.15735
128.0,3.69243,3.6954,4.18773
129.0,3.70048,3.68529,4.1113
130.0,3.6621,3.67368,4.06325
131.0,3.73316,3.62629,4.1438
132.0,3.7806,3.5541,4.12857
133.0,3.81321,3.6059,4.13095
134.0,3.84936,3.67269,4.22635
135.0,3.82388,3.72958,4.26573
136.0,3.82931,3.7712,4.3221
137.0,3.84638,3.83826,4.27917
138.0,3.87092,3.85876,4.31463
139.0,3.84223,3.83593,4.38569
140.0,3.84284,3.85441,4.3457
141.0,3.85882,3.8354,4.32175
142.0,3.80172,3.80961,4.28849
143.0,3.83433,3.78641,4.27993
144.0,3.82421,3.72594,4.28446
145.0,3.8144,3.73234,4.22978
146.0,3.8041,3.7376,4.21892
147.0,3.83158,3.76346,4.13617
148.0,3.80499,3.78616,4.07933
149.0,3.78956,3.76282,4.08258
150.0,3.84281,3.84255,4.03577
151.0,3.8129,3.90086,3.98431
152.0,3.86985,3.90495,4.04449
153.0,3.89495,3.97434,4.09316
154.0,3.91299,3.95477,4.05681
155.0,3.88202,3.93968,4.05491
156.0,3.92253,3.9941,4.0941
157.0,3.94132,4.02188,4.10944
158.0,3.96427,4.09788,4.10945
159.0,3.96133,4.10902,4.14284
160.0,4.00687,4.06703,4.13698
161.0,4.00727,4.07742,4.16419
162.0,4.05841,4.08743,4.15874
163.0,4.05762,4.04414,4.10941
164.0,4.08628,4.05687,4.10636
165.0,4.09794,4.00946,4.13082
166.0,4.10384,4.04083,4.19824
167.0,4.16521,4.08778,4.24826
168.0,4.14857,4.06035,4.31462
169.0,4.12627,4.07469,4.34897
170.0,4.15749,4.07937,4.3877
171.0,4.15833,4.06275,4.44572
172.0,4.16655,4.07121,4.39429
173.0,4.18117,4.06762,4.41599
174.0,4.19972,4.08571,4.50352
175.0,4.16402,4.0994,4.44545
176.0,4.17371,4.09232,4.40029
